File path                                          | mode  | owner      | group      | error     |
/opt/datadog-agent/embedded/share/system-probe/ebpf/runtime | drwxr-xr-x | root       | root       |           |
/etc/datadog-agent/security-agent.yaml             |       |            |            | could not stat file /etc/datadog-agent/security-agent.yaml: stat /etc/datadog-agent/security-agent.yaml: no such file or directory|
/etc/datadog-agent/conf.d/uptime.d/conf.yaml.default | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/runtime/runtime-security.c | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_cisco-cpu-memory.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/exagrid.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/mcafee-web-gateway.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/riverbed.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/tripplite-ups.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/velocloud-edge.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/runtime/conntrack.c | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/kube_scheduler.d/auto_conf.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_juniper-dcu.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/watchguard.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/tomcat.d/auto_conf.yaml  | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/runtime/tracer.c | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/avtech.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/cisco.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/huawei-access-controllers.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/nvidia.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/ruckus-unleashed.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/runtime-security-offset-guesser.o | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/eks_fargate.d/conf.yaml.default | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/mcache.d/auto_conf.yaml  | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_ubiquiti.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/disk.d/conf.yaml.default | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/hivemq.d/metrics.yaml    | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/apc-pdu.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/hpe-msa.yaml | -rw-r--r-- | root       | root       |           |
